category,player_id,height_cm,team_year_id
Player Rank,s/siakapa01,203,TOR/2024
Player Rank,b/bogdabo02,201,UTA/2020
Player Rank,m/mitchdo01,190,UTA/2020
Player Rank,b/bogdabo02,201,UTA/2021
Player Rank,c/clarkjo01,190,UTA/2021
Player Rank,m/mitchdo01,190,UTA/2021
Player Rank,c/clarkjo01,190,UTA/2022
Player Rank,m/mitchdo01,190,UTA/2022
Player Rank,m/markkla01,213,UTA/2023
Player Rank,s/sextoco01,190,UTA/2024
Player Rank,b/bealbr01,193,WAS/2020
Player Rank,b/bealbr01,193,WAS/2021
Player Rank,w/westbru01,193,WAS/2021
Player Rank,k/kuzmaky01,206,WAS/2023
Player Rank,p/porzikr01,218,WAS/2023
Player Rank,k/kuzmaky01,206,WAS/2024
Player Rank,p/poolejo01,193,WAS/2024
